soil_type,n_ratio,p_ratio,k_ratio,ph_level,avg_temp,avg_humidity,avg_rainfall,water_availability,irrigation_type,land_area,season,crop,age,education,annual_income,farming_experience,agro_climatic_zone,using_uzhavan_app,watch_agri_youtube,in_whatsapp_groups,adoption_level,technologies_used
Sandy,0,139,12,8.2,36.2,63.9,122.8,Low,Canal,3.8,Rabi,Millets,62,High,450736,28,Hilly,1,1,1,Medium,"['Soil Testing Kit', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Mulching Sheets']"
Clay,100,126,53,6.4,23.9,60.8,223.8,Medium,Rainfed,10.2,Rabi,Millets,63,No Formal,529661,43,Hilly,0,1,1,Medium,"['Soil Testing Kit', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation']"
Sandy,13,12,156,8.5,20.1,24.1,60.6,High,Canal,10.1,Rabi,Millets,25,Primary,229691,37,Dry,0,1,0,Low,"['Mulching Sheets', 'Uzhavan Mobile App', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse']"
Red,93,78,91,7.1,26.9,80.3,41.6,Medium,Borewell,12.5,Kharif,Millets,48,Degree,204663,2,Delta,1,1,1,High,"['Drone Spraying', 'Sprinkler Irrigation', 'Soil Testing Kit', 'Drip Irrigation', 'Uzhavan Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Weather Forecast Mobile App']"
Sandy,80,63,118,4.1,38.2,58.9,193.6,Medium,Borewell,4.4,Rabi,Millets,67,No Formal,377911,37,Dry,1,1,1,Low,"['Soil Moisture Sensor', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Drone Spraying']"
Sandy,23,119,165,4.2,34.2,72.8,199.5,High,Drip,3.4,Kharif,Millets,23,Middle,358170,30,Delta,0,0,1,Low,"['Sprinkler Irrigation', 'Drone Spraying', 'Weather Forecast Mobile App']"
Red,74,7,52,5.2,31.3,68.0,157.7,High,Drip,0.6,Rabi,Millets,57,No Formal,865637,7,Dry,0,1,0,Low,"['Drone Spraying', 'Soil Testing Kit']"
Clay,122,20,30,5.5,23.3,81.7,186.5,Medium,Borewell,7.7,Kharif,Millets,24,Primary,693280,9,Delta,0,1,0,Medium,"['Sprinkler Irrigation', 'Drip Irrigation', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse']"
Alluvial,115,130,156,5.8,31.2,73.8,215.8,High,Rainfed,7.4,Rabi,Millets,29,High,512674,35,Hilly,1,1,1,High,"['Farm Mechanization Tools', 'Drone Spraying', 'Mulching Sheets', 'Sprinkler Irrigation', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse']"
Sandy,60,38,144,5.3,16.2,87.5,24.2,Low,Canal,6.6,Kharif,Millets,36,Primary,941238,43,Dry,1,0,0,Medium,"['Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Mulching Sheets']"
Red,70,82,151,5.7,39.7,58.3,26.4,High,Sprinkler,4.1,Kharif,Millets,42,High,333598,19,Coastal,1,1,0,Medium,"['Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Farm Mechanization Tools']"
Alluvial,69,131,147,9.4,20.1,53.3,138.7,High,Sprinkler,8.5,Rabi,Millets,55,Middle,798932,47,Dry,0,1,1,Medium,"['Farm Mechanization Tools', 'Soil Moisture Sensor', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Soil Testing Kit']"
Clay,45,111,147,8.4,17.0,44.1,287.2,Medium,Canal,15.0,Kharif,Millets,26,Higher Secondary,945597,12,Coastal,0,1,1,High,"['Drip Irrigation', 'Soil Testing Kit', 'Mulching Sheets', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Farm Mechanization Tools']"
Alluvial,39,5,41,6.9,28.6,38.7,100.9,High,Drip,6.6,Rabi,Millets,40,Higher Secondary,715942,44,Dry,0,0,0,Medium,"['Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Soil Testing Kit', 'Greenhouse / Polyhouse']"
Clay,80,112,144,4.5,39.5,67.9,43.4,Low,Canal,1.7,Kharif,Millets,39,Higher Secondary,796567,1,Delta,0,0,1,Medium,"['Soil Moisture Sensor', 'Farm Mechanization Tools', 'Drip Irrigation', 'Greenhouse / Polyhouse']"
Sandy,59,138,122,8.4,16.5,86.6,38.3,High,Drip,17.6,Rabi,Millets,34,Middle,539363,28,Hilly,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Drip Irrigation', 'Soil Moisture Sensor', 'Mulching Sheets', 'Sprinkler Irrigation', 'Soil Testing Kit']"
Clay,12,76,98,3.7,30.6,52.0,70.6,Low,Sprinkler,8.3,Kharif,Millets,68,Higher Secondary,585156,36,Coastal,0,1,1,Medium,"['Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Drip Irrigation']"
Clay,27,34,47,4.7,22.2,30.9,199.4,High,Drip,10.8,Rabi,Paddy,45,Primary,277375,30,Dry,0,1,0,Low,"['Farm Mechanization Tools', 'Drone Spraying']"
Sandy,127,37,135,4.3,22.8,89.6,114.6,Low,Rainfed,18.5,Rabi,Millets,24,Higher Secondary,243466,45,Delta,1,0,1,Medium,"['Soil Testing Kit', 'Weather Forecast Mobile App', 'Drone Spraying', 'Soil Moisture Sensor', 'Mulching Sheets']"
Clay,24,122,159,9.5,36.9,60.1,231.6,High,Canal,16.1,Rabi,Paddy,55,Higher Secondary,816017,17,Dry,0,0,0,Medium,"['Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Testing Kit', 'Drip Irrigation']"
Clay,26,99,151,5.4,32.5,24.6,106.5,Medium,Sprinkler,12.0,Rabi,Millets,40,Degree,381997,33,Delta,1,1,0,Medium,"['Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Drone Spraying', 'Drip Irrigation', 'Farm Mechanization Tools']"
Sandy,84,23,157,9.9,22.5,41.5,149.6,Low,Rainfed,9.2,Rabi,Millets,27,Higher Secondary,907231,26,Hilly,1,0,1,Medium,"['Weather Forecast Mobile App', 'Mulching Sheets', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Uzhavan Mobile App', 'Soil Testing Kit']"
Sandy,43,62,167,8.7,39.8,44.6,120.2,High,Sprinkler,14.7,Rabi,Millets,74,Diploma,495014,43,Delta,0,0,1,Medium,"['Soil Moisture Sensor', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App']"
Black,80,95,100,4.0,38.7,72.0,290.0,Low,Sprinkler,19.0,Rabi,Millets,68,Degree,971282,49,Hilly,1,1,1,High,"['Farm Mechanization Tools', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Soil Testing Kit', 'Drone Spraying']"
Sandy,41,24,200,5.5,38.6,85.0,84.7,High,Rainfed,10.8,Kharif,Millets,72,No Formal,490911,38,Delta,0,0,0,Low,"['Drone Spraying', 'Drip Irrigation']"
Sandy,97,89,181,8.2,22.6,88.7,34.4,High,Canal,1.4,Rabi,Millets,45,Postgraduate,229781,47,Delta,0,0,1,Medium,"['Uzhavan Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Mulching Sheets']"
Alluvial,35,61,141,9.8,23.1,53.1,160.9,Low,Sprinkler,2.4,Rabi,Millets,61,Primary,105554,30,Dry,1,1,0,Medium,"['Mulching Sheets', 'Farm Mechanization Tools', 'Drone Spraying']"
Black,29,13,140,7.1,22.0,64.5,137.5,Low,Sprinkler,19.3,Rabi,Millets,24,High,741964,8,Coastal,0,0,1,Medium,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Drone Spraying', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Drip Irrigation']"
Red,136,28,58,4.6,25.0,26.4,222.6,Low,Sprinkler,10.8,Rabi,Millets,47,Degree,246893,13,Hilly,0,0,1,Medium,"['Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Mulching Sheets', 'Soil Moisture Sensor', 'Sprinkler Irrigation']"
Clay,34,140,154,8.0,39.4,59.5,125.6,Medium,Drip,10.4,Kharif,Millets,23,No Formal,460281,2,Hilly,0,1,0,Low,"['Soil Moisture Sensor', 'Sprinkler Irrigation']"
Alluvial,128,124,45,8.3,28.1,47.9,188.3,Medium,Borewell,5.6,Kharif,Millets,31,Diploma,650052,14,Coastal,1,0,1,Medium,"['Sprinkler Irrigation', 'Mulching Sheets', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Uzhavan Mobile App', 'Drip Irrigation']"
Clay,64,22,9,5.9,18.5,88.8,38.5,Medium,Borewell,2.2,Rabi,Millets,54,Higher Secondary,125739,47,Hilly,0,0,1,Low,"['Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Drone Spraying']"
Black,18,35,23,6.5,29.5,44.5,157.2,Low,Drip,19.1,Rabi,Millets,55,No Formal,438368,10,Dry,0,1,1,Low,"['Weather Forecast Mobile App', 'Farm Mechanization Tools']"
Alluvial,131,126,145,9.5,30.5,53.3,96.1,Low,Borewell,15.2,Kharif,Millets,68,Middle,182264,11,Dry,0,1,0,Low,"['Drone Spraying', 'Farm Mechanization Tools', 'Uzhavan Mobile App']"
Black,60,96,58,7.1,36.0,86.8,215.5,Low,Borewell,0.9,Kharif,Millets,36,Postgraduate,687217,19,Hilly,0,1,0,Medium,"['Drone Spraying', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Sprinkler Irrigation']"
Alluvial,85,125,194,3.8,32.1,90.1,156.7,Low,Borewell,11.4,Kharif,Millets,63,Diploma,687886,42,Delta,1,0,1,High,"['Sprinkler Irrigation', 'Uzhavan Mobile App', 'Farm Mechanization Tools', 'Drip Irrigation', 'Mulching Sheets', 'Soil Moisture Sensor', 'Drone Spraying', 'Weather Forecast Mobile App', 'Greenhouse / Polyhouse']"
Black,4,45,21,9.8,16.4,71.7,90.8,High,Borewell,18.2,Rabi,Sugarcane,33,High,762535,29,Dry,0,1,1,Medium,"['Drone Spraying', 'Soil Testing Kit', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Moisture Sensor']"
Black,77,35,163,9.4,36.2,31.0,222.6,Low,Canal,14.3,Rabi,Millets,57,Diploma,273278,2,Hilly,1,1,1,High,"['Drone Spraying', 'Soil Testing Kit', 'Mulching Sheets', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Farm Mechanization Tools']"
Black,93,14,52,8.9,24.0,28.9,262.0,High,Rainfed,3.8,Rabi,Sugarcane,56,Higher Secondary,193716,15,Delta,1,1,1,Medium,"['Soil Testing Kit', 'Drone Spraying', 'Farm Mechanization Tools', 'Mulching Sheets', 'Sprinkler Irrigation', 'Weather Forecast Mobile App']"
Red,89,142,92,9.7,16.3,41.7,211.3,Low,Drip,7.9,Rabi,Millets,53,Middle,414095,42,Hilly,0,1,1,Medium,"['Weather Forecast Mobile App', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Drip Irrigation']"
Alluvial,38,74,6,5.4,39.2,37.6,103.7,Medium,Sprinkler,4.9,Rabi,Millets,22,Middle,680846,3,Hilly,0,1,1,Medium,"['Drone Spraying', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Weather Forecast Mobile App']"
Clay,7,43,71,4.9,23.4,94.7,212.5,High,Drip,9.0,Kharif,Paddy,73,Higher Secondary,408282,6,Delta,1,1,1,High,"['Mulching Sheets', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Drone Spraying']"
Sandy,47,17,7,9.5,30.8,38.5,259.0,Medium,Canal,17.5,Kharif,Millets,20,Primary,237481,28,Delta,0,0,0,Low,"['Soil Testing Kit', 'Mulching Sheets']"
Alluvial,131,108,172,4.0,29.3,27.5,192.9,High,Canal,4.9,Rabi,Millets,30,Middle,238446,25,Dry,0,1,1,Low,"['Mulching Sheets', 'Soil Moisture Sensor', 'Sprinkler Irrigation']"
Sandy,39,91,92,4.9,20.4,66.9,184.6,Medium,Drip,13.6,Kharif,Millets,18,Degree,479545,47,Delta,0,0,1,Medium,"['Greenhouse / Polyhouse', 'Drip Irrigation', 'Uzhavan Mobile App', 'Weather Forecast Mobile App']"
Clay,31,93,80,4.5,23.8,90.4,58.6,High,Borewell,13.3,Rabi,Paddy,53,Degree,584291,11,Delta,1,1,1,High,"['Farm Mechanization Tools', 'Sprinkler Irrigation', 'Uzhavan Mobile App', 'Drip Irrigation', 'Mulching Sheets', 'Drone Spraying', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Soil Testing Kit']"
Red,93,57,179,9.5,19.1,39.7,63.0,Medium,Rainfed,5.6,Kharif,Millets,50,Primary,826222,22,Delta,0,1,0,Medium,"['Uzhavan Mobile App', 'Soil Testing Kit', 'Mulching Sheets', 'Soil Moisture Sensor']"
Sandy,123,64,178,5.0,22.1,82.3,119.0,Medium,Drip,2.6,Kharif,Millets,28,Middle,472387,11,Delta,0,1,0,Low,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor']"
Sandy,103,14,27,9.4,27.9,29.6,191.1,Medium,Drip,16.7,Kharif,Millets,29,Higher Secondary,977567,40,Delta,0,0,1,Medium,"['Drip Irrigation', 'Mulching Sheets', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Farm Mechanization Tools']"
Clay,43,55,162,5.0,38.9,92.3,143.1,Low,Rainfed,2.9,Kharif,Millets,24,High,807087,7,Hilly,1,1,1,High,"['Greenhouse / Polyhouse', 'Drip Irrigation', 'Farm Mechanization Tools', 'Drone Spraying', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Uzhavan Mobile App']"
Red,79,84,59,7.3,18.4,66.7,77.2,Low,Sprinkler,2.5,Rabi,Millets,51,Primary,625934,27,Dry,0,0,1,Medium,"['Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Soil Testing Kit']"
Sandy,54,79,125,3.9,32.8,75.7,273.3,Medium,Drip,13.9,Kharif,Millets,67,No Formal,276966,25,Dry,0,0,1,Low,['Sprinkler Irrigation']
Black,120,85,181,6.3,29.7,50.3,97.0,High,Rainfed,16.6,Kharif,Sugarcane,49,High,710650,40,Hilly,1,1,1,High,"['Drip Irrigation', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Mulching Sheets', 'Soil Moisture Sensor', 'Drone Spraying', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Sprinkler Irrigation']"
Red,138,102,156,5.6,18.6,51.4,299.9,Low,Drip,2.5,Rabi,Millets,69,Middle,886740,10,Hilly,0,1,1,Medium,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Mulching Sheets']"
Alluvial,88,54,122,5.4,24.1,52.3,160.4,Low,Borewell,4.9,Kharif,Millets,51,Degree,754459,34,Dry,0,0,1,Medium,"['Mulching Sheets', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Drone Spraying', 'Farm Mechanization Tools']"
Clay,96,118,13,6.9,39.9,32.6,61.0,High,Sprinkler,13.7,Rabi,Paddy,34,Primary,937666,49,Dry,1,1,1,High,"['Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Mulching Sheets', 'Drone Spraying', 'Drip Irrigation', 'Farm Mechanization Tools']"
Sandy,134,8,178,6.1,27.7,44.9,224.4,Low,Rainfed,19.4,Rabi,Millets,22,No Formal,652762,5,Dry,0,1,0,Low,"['Mulching Sheets', 'Drone Spraying', 'Farm Mechanization Tools']"
Sandy,46,60,49,5.5,33.1,44.1,156.5,High,Borewell,7.6,Kharif,Millets,44,Postgraduate,193324,13,Coastal,0,1,0,Medium,"['Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Drip Irrigation']"
Alluvial,26,44,84,4.4,21.2,71.4,273.1,Low,Sprinkler,0.9,Kharif,Millets,58,Middle,556827,34,Coastal,0,1,0,Medium,"['Sprinkler Irrigation', 'Soil Testing Kit', 'Mulching Sheets']"
Alluvial,106,67,156,6.8,33.2,44.2,262.0,High,Borewell,11.0,Kharif,Millets,31,High,714865,12,Hilly,1,1,0,Medium,"['Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Drone Spraying', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Mulching Sheets', 'Uzhavan Mobile App']"
Red,50,37,68,9.5,17.4,45.1,286.7,Low,Rainfed,11.3,Rabi,Millets,53,High,474166,1,Delta,1,1,1,Medium,"['Mulching Sheets', 'Soil Testing Kit', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Sprinkler Irrigation']"
Clay,102,78,78,3.9,16.5,37.7,198.0,Medium,Sprinkler,8.6,Kharif,Millets,27,Higher Secondary,936086,3,Delta,0,1,0,Medium,"['Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Drone Spraying', 'Soil Moisture Sensor', 'Mulching Sheets', 'Greenhouse / Polyhouse']"
Red,66,107,177,8.1,36.4,60.3,154.5,High,Drip,3.9,Rabi,Millets,37,Postgraduate,623400,35,Hilly,1,1,1,High,"['Mulching Sheets', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Drone Spraying', 'Uzhavan Mobile App']"
Alluvial,127,89,189,5.3,18.0,37.1,212.2,High,Sprinkler,11.2,Kharif,Millets,61,Postgraduate,400181,14,Delta,0,0,1,Medium,"['Sprinkler Irrigation', 'Farm Mechanization Tools', 'Drone Spraying', 'Drip Irrigation', 'Soil Moisture Sensor', 'Weather Forecast Mobile App']"
Alluvial,62,133,74,4.0,32.9,26.1,58.5,Medium,Borewell,3.8,Rabi,Millets,33,Middle,796879,35,Coastal,1,1,1,Medium,"['Mulching Sheets', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Uzhavan Mobile App']"
Alluvial,83,14,37,7.2,36.8,36.6,274.8,High,Sprinkler,19.6,Kharif,Millets,20,Primary,567575,11,Hilly,0,1,0,Low,"['Drip Irrigation', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Drone Spraying']"
Clay,110,128,8,8.0,22.0,67.8,284.1,Low,Drip,9.0,Kharif,Millets,28,Postgraduate,486374,40,Hilly,0,1,0,Medium,"['Uzhavan Mobile App', 'Drip Irrigation', 'Weather Forecast Mobile App', 'Soil Moisture Sensor']"
Black,22,109,200,8.3,31.4,90.7,63.7,Medium,Canal,4.0,Kharif,Millets,39,No Formal,317132,20,Coastal,0,1,1,Low,['Drip Irrigation']
Red,101,115,147,8.2,19.4,84.7,295.3,Medium,Rainfed,2.6,Kharif,Millets,56,No Formal,675932,3,Dry,0,1,1,Medium,"['Soil Moisture Sensor', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Soil Testing Kit']"
Alluvial,113,13,122,9.6,31.2,69.3,112.4,High,Drip,8.1,Rabi,Millets,55,High,575645,3,Coastal,0,1,1,High,"['Drip Irrigation', 'Mulching Sheets', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Drone Spraying', 'Sprinkler Irrigation', 'Soil Testing Kit']"
Black,97,93,44,7.8,19.0,82.3,281.6,Medium,Drip,18.3,Kharif,Millets,58,Diploma,781092,5,Hilly,0,1,1,High,"['Farm Mechanization Tools', 'Sprinkler Irrigation', 'Drone Spraying', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Soil Testing Kit', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse']"
Black,56,121,190,8.1,34.8,85.3,103.0,Low,Drip,3.2,Rabi,Millets,53,Degree,700188,28,Hilly,0,1,1,Medium,"['Sprinkler Irrigation', 'Drip Irrigation', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Soil Testing Kit']"
Clay,18,41,23,7.8,16.0,24.1,223.4,Low,Canal,18.8,Kharif,Millets,55,Primary,127308,33,Dry,0,1,0,Low,"['Weather Forecast Mobile App', 'Sprinkler Irrigation']"
Red,35,16,53,4.2,20.9,62.7,193.8,Medium,Canal,17.7,Rabi,Millets,62,High,54697,17,Coastal,0,1,0,Medium,"['Soil Testing Kit', 'Farm Mechanization Tools', 'Drone Spraying', 'Greenhouse / Polyhouse']"
Black,116,86,142,6.5,18.8,86.8,289.5,High,Rainfed,18.0,Rabi,Sugarcane,71,Middle,409407,18,Coastal,1,1,1,Medium,"['Soil Moisture Sensor', 'Uzhavan Mobile App', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Drone Spraying']"
Clay,127,24,133,4.7,19.2,60.6,254.4,Low,Rainfed,4.6,Kharif,Millets,65,Degree,726833,21,Dry,1,1,0,High,"['Greenhouse / Polyhouse', 'Mulching Sheets', 'Farm Mechanization Tools', 'Drone Spraying', 'Drip Irrigation', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Uzhavan Mobile App']"
Black,106,26,126,4.9,37.5,21.4,128.4,Medium,Drip,5.6,Rabi,Millets,43,Degree,77319,11,Coastal,1,0,0,Medium,"['Mulching Sheets', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Uzhavan Mobile App', 'Weather Forecast Mobile App']"
Alluvial,94,104,187,6.3,27.6,27.2,295.5,Medium,Drip,7.8,Kharif,Millets,50,No Formal,450869,36,Delta,0,1,0,Low,"['Weather Forecast Mobile App', 'Greenhouse / Polyhouse']"
Black,130,46,79,5.2,32.2,83.9,199.3,High,Rainfed,11.6,Rabi,Sugarcane,35,Higher Secondary,92156,10,Dry,0,1,1,Medium,"['Soil Moisture Sensor', 'Mulching Sheets', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Drip Irrigation']"
Sandy,70,135,141,3.7,18.8,68.8,212.3,Medium,Drip,15.0,Rabi,Millets,38,Diploma,620049,37,Coastal,1,1,0,High,"['Drip Irrigation', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Drone Spraying', 'Mulching Sheets', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Soil Testing Kit']"
Black,127,80,125,7.3,21.9,89.4,76.9,High,Canal,13.9,Rabi,Sugarcane,38,Diploma,839130,9,Dry,1,1,1,High,"['Drip Irrigation', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Drone Spraying', 'Mulching Sheets', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Soil Moisture Sensor']"
Alluvial,110,74,16,6.7,15.2,56.5,254.2,Low,Borewell,11.8,Kharif,Millets,74,High,579570,28,Hilly,0,1,0,Medium,"['Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Uzhavan Mobile App', 'Sprinkler Irrigation', 'Drone Spraying']"
Red,100,100,136,7.8,26.7,53.9,122.5,High,Rainfed,17.8,Rabi,Millets,18,Diploma,612313,9,Dry,0,0,0,Medium,"['Mulching Sheets', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Farm Mechanization Tools']"
Clay,39,37,165,9.1,25.6,79.1,210.7,Medium,Canal,2.0,Rabi,Millets,69,Degree,448144,11,Coastal,0,0,0,Low,"['Uzhavan Mobile App', 'Drip Irrigation', 'Greenhouse / Polyhouse']"
Black,116,117,21,9.1,35.5,36.6,239.2,Low,Sprinkler,19.6,Rabi,Millets,25,Degree,234485,41,Dry,1,1,1,Medium,"['Soil Moisture Sensor', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Farm Mechanization Tools', 'Drip Irrigation', 'Weather Forecast Mobile App', 'Drone Spraying', 'Soil Testing Kit']"
Alluvial,10,143,143,5.6,32.8,46.7,287.1,Low,Rainfed,11.8,Kharif,Millets,51,Primary,760295,16,Coastal,0,1,1,Medium,"['Mulching Sheets', 'Weather Forecast Mobile App', 'Drone Spraying', 'Soil Moisture Sensor', 'Uzhavan Mobile App']"
Alluvial,115,11,161,8.0,25.6,81.1,115.9,Medium,Canal,13.1,Rabi,Millets,47,High,655911,4,Hilly,1,0,0,Medium,"['Drone Spraying', 'Drip Irrigation', 'Farm Mechanization Tools', 'Mulching Sheets', 'Soil Moisture Sensor', 'Sprinkler Irrigation']"
Alluvial,127,37,53,6.8,35.9,37.3,140.8,High,Canal,15.8,Rabi,Millets,42,Middle,91070,42,Coastal,0,1,1,Medium,"['Mulching Sheets', 'Sprinkler Irrigation', 'Drone Spraying', 'Farm Mechanization Tools', 'Uzhavan Mobile App']"
Clay,130,50,194,6.6,36.0,65.6,258.3,Medium,Rainfed,19.3,Kharif,Millets,52,Middle,950757,34,Coastal,0,1,0,Medium,"['Soil Testing Kit', 'Drone Spraying', 'Farm Mechanization Tools', 'Soil Moisture Sensor']"
Alluvial,80,84,28,3.7,15.8,53.6,122.8,Low,Sprinkler,6.4,Kharif,Millets,40,Higher Secondary,452293,30,Hilly,1,1,0,Medium,"['Soil Testing Kit', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Drone Spraying', 'Drip Irrigation', 'Farm Mechanization Tools']"
Clay,134,121,176,5.2,28.9,84.1,71.0,High,Canal,14.6,Kharif,Paddy,35,No Formal,610135,22,Coastal,1,1,0,Medium,"['Soil Testing Kit', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Mulching Sheets']"
Alluvial,10,72,12,4.6,27.3,31.5,157.8,Medium,Borewell,8.9,Rabi,Millets,21,Postgraduate,64163,45,Coastal,0,0,1,Medium,"['Weather Forecast Mobile App', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Soil Testing Kit', 'Soil Moisture Sensor', 'Sprinkler Irrigation']"
Clay,76,83,121,3.9,33.7,62.7,234.0,High,Rainfed,13.2,Kharif,Paddy,55,Postgraduate,973659,44,Coastal,0,0,0,Medium,"['Farm Mechanization Tools', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Uzhavan Mobile App', 'Drone Spraying']"
Red,80,36,75,9.9,34.3,75.6,27.8,Medium,Borewell,7.7,Kharif,Millets,42,Diploma,59005,27,Dry,0,1,1,Medium,"['Sprinkler Irrigation', 'Farm Mechanization Tools', 'Mulching Sheets', 'Uzhavan Mobile App', 'Drip Irrigation', 'Soil Moisture Sensor', 'Weather Forecast Mobile App']"
